,STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,UNCERTAINTY
252,10202,Beryllium-7,2020-06-02,1066.016603,Bq/m3,
253,9054,Beryllium-7,2013-06-20,510.33,Bq/m3,
254,10202,Beryllium-7,2012-06-06,791.0,Bq/m3,
255,9054,Beryllium-7,2021-06-07,538.6890891,Bq/m3,
256,9054,Beryllium-7,2014-07-14,509.33,Bq/m3,
257,10202,Beryllium-7,2014-07-14,932.19,Bq/m3,
258,10202,Beryllium-7,2022-07-18,1226.741109,Bq/m3,
259,9054,Beryllium-7,2022-07-19,684.1059472,Bq/m3,
260,9054,Beryllium-7,2012-07-02,503.81,Bq/m3,
261,10202,Beryllium-7,2012-07-02,739.77,Bq/m3,
262,10202,Beryllium-7,2013-07-02,921.49,Bq/m3,
263,9054,Beryllium-7,2023-07-03,654.3860483,Bq/m3,
264,10202,Beryllium-7,2023-07-03,1655.675544,Bq/m3,
265,9054,Beryllium-7,2011-07-04,863.84,Bq/m3,
266,9054,Beryllium-7,2021-07-06,551.2368065,Bq/m3,
267,10202,Beryllium-7,2021-07-06,1281.506337,Bq/m3,
268,10202,Beryllium-7,2015-07-07,1030.86,Bq/m3,
269,9054,Beryllium-7,2020-07-07,518.8931185,Bq/m3,
270,10202,Beryllium-7,2020-07-07,1124.398851,Bq/m3,
271,10202,Beryllium-7,2011-08-01,880.01,Bq/m3,
272,10202,Beryllium-7,2010-08-11,691.31,Bq/m3,
273,9054,Beryllium-7,2010-08-12,665.66,Bq/m3,
274,9054,Beryllium-7,2013-08-22,802.86,Bq/m3,
275,9054,Beryllium-7,2021-08-03,650.1744501,Bq/m3,
276,9054,Beryllium-7,2020-08-04,549.4195555,Bq/m3,
277,10202,Beryllium-7,2020-08-04,1304.825727,Bq/m3,
278,10202,Beryllium-7,2021-09-06,1292.459382,Bq/m3,
279,9054,Beryllium-7,2021-09-07,580.8314351,Bq/m3,
280,9054,Beryllium-7,2020-09-08,526.556097,Bq/m3,
281,10202,Beryllium-7,2020-09-08,1355.237076,Bq/m3,
282,9054,Bicarbonate,2022-01-10,68.8,mg/l,2.6
283,10202,Bicarbonate,2022-01-11,76.0,mg/l,2.8
284,10202,Bicarbonate,2023-01-23,77.0,mg/l,2.8
285,9054,Bicarbonate,2023-01-24,71.4,mg/l,2.7
286,10202,Bicarbonate,2022-10-17,79.9,mg/l,2.8
287,10202,Bicarbonate,2021-10-18,79.3,mg/l,2.8
288,9054,Bicarbonate,2022-10-19,71.5,mg/l,2.7
289,10202,Bicarbonate,2023-10-02,80.4,mg/l,3.0
290,9054,Bicarbonate,2023-10-03,73.0,mg/l,2.8
291,9054,Bicarbonate,2021-10-05,65.3,mg/l,2.5
292,9054,Bicarbonate,2021-11-10,69.2,mg/l,2.6
293,10202,Bicarbonate,2021-11-24,75.7,mg/l,2.8
294,10202,Bicarbonate,2020-12-01,74.8,mg/l,2.8
295,10202,Bicarbonate,2019-12-18,77.6,mg/l,2.8
296,9054,Bicarbonate,2019-12-19,65.5,mg/l,2.5
297,9054,Bicarbonate,2020-12-02,62.2,mg/l,2.5
298,10202,Bicarbonate,2021-12-02,79.6,mg/l,2.8
299,9054,Bicarbonate,2021-12-06,68.1,mg/l,2.6
300,10202,Bicarbonate,2022-02-01,76.6,mg/l,2.8
301,9054,Bicarbonate,2022-02-02,69.2,mg/l,2.6
302,10202,Bicarbonate,2021-03-01,74.7,mg/l,2.8
303,9054,Bicarbonate,2021-03-02,62.4,mg/l,2.5
304,10202,Bicarbonate,2020-03-03,71.0,mg/l,2.7
305,10202,Bicarbonate,2018-04-10,71.1,mg/l,2.0
306,9054,Bicarbonate,2019-04-10,67.2,mg/l,2.6
307,10202,Bicarbonate,2022-04-20,79.0,mg/l,2.8
308,9054,Bicarbonate,2022-04-21,69.9,mg/l,2.6
309,9054,Bicarbonate,2017-04-03,65.8,mg/l,2.0
310,9054,Bicarbonate,2023-04-03,71.1,mg/l,2.7
311,10202,Bicarbonate,2023-04-03,92.6,mg/l,3.2
312,9054,Bicarbonate,2016-04-04,63.3,mg/l,1.9
313,10202,Bicarbonate,2016-04-04,73.1,mg/l,2.1
314,10202,Bicarbonate,2017-04-04,72.3,mg/l,2.1
315,9054,Bicarbonate,2020-04-08,55.2,mg/l,2.3
316,9054,Bicarbonate,2018-04-09,65.6,mg/l,2.0
317,10202,Bicarbonate,2019-04-09,72.0,mg/l,2.7
318,10202,Bicarbonate,2021-06-10,76.3,mg/l,2.8
319,9054,Bicarbonate,2020-06-02,74.4,mg/l,2.8
320,10202,Bicarbonate,2020-06-02,75.0,mg/l,2.8
321,9054,Bicarbonate,2021-06-07,62.2,mg/l,2.5
322,10202,Bicarbonate,2022-07-18,79.0,mg/l,2.8
323,9054,Bicarbonate,2022-07-19,70.0,mg/l,2.6
324,9054,Bicarbonate,2023-07-03,76.1,mg/l,2.8
325,10202,Bicarbonate,2023-07-03,79.8,mg/l,2.8
326,9054,Bicarbonate,2021-07-06,64.8,mg/l,2.5
327,10202,Bicarbonate,2021-07-06,78.1,mg/l,2.8
328,10202,Bicarbonate,2021-08-02,73.4,mg/l,2.8
329,9054,Bicarbonate,2021-08-03,65.9,mg/l,2.5
330,10202,Bicarbonate,2021-09-06,76.8,mg/l,2.8
331,9054,Bicarbonate,2021-09-07,64.7,mg/l,2.5
332,9054,Bicarbonate,2020-09-08,58.1,mg/l,2.3
333,10202,Bicarbonate,2020-09-08,61.1,mg/l,2.5
334,9054,Boron,2010-02-24,25.9,µg/l,0.72
335,9054,Boron,2010-04-16,27.2,µg/l,0.5
336,10202,Boron,2010-04-21,29.0,µg/l,0.94
337,9054,Boron,2010-05-06,23.7,µg/l,0.64
338,9054,Boron,2010-06-03,25.4,µg/l,0.84
339,9054,Cadmium,2010-02-24,0.02,µg/l,0.01
