STATION_ID,ANALYTE_NAME,COLLECTION_DATE,RESULT,RESULT_UNITS,Uncertainty
9054,Barium,1/8/13,127.0,µg/l,12.7
10202,Barium,1/8/13,153.0,µg/l,15.3
10202,Barium,1/8/14,132.0,µg/l,13.2
10202,Barium,10/1/14,137.0,µg/l,13.7
10202,Barium,10/10/13,133.0,µg/l,13.3
9054,Barium,10/5/15,102.0,µg/l,10.2
10202,Barium,10/5/15,131.0,µg/l,13.1
9054,Barium,2/24/10,93.8,µg/l,0.9
9054,Barium,4/16/10,101.0,µg/l,1.3
10202,Barium,4/2/14,138.0,µg/l,13.8
10202,Barium,4/21/10,119.0,µg/l,0.9
10202,Barium,4/22/15,124.0,µg/l,12.4
10202,Barium,4/8/13,143.0,µg/l,14.3
9054,Barium,5/6/10,95.2,µg/l,0.97
9054,Barium,6/20/13,124.0,µg/l,12.4
9054,Barium,6/3/10,95.7,µg/l,0.75
9054,Barium,7/14/14,105.0,µg/l,10.5
10202,Barium,7/14/14,135.0,µg/l,13.5
10202,Barium,7/2/13,133.0,µg/l,13.3
10202,Barium,7/7/15,128.0,µg/l,12.8
9054,Barium,8/22/13,111.0,µg/l,11.1
9054,Beryllium-7,1/10/11,770.74,Bq/m3,
9054,Beryllium-7,1/10/12,468.99,Bq/m3,
10202,Beryllium-7,1/10/12,882.67,Bq/m3,
9054,Beryllium-7,1/10/22,584.8926357,Bq/m3,
10202,Beryllium-7,1/11/16,1081.376348,Bq/m3,
9054,Beryllium-7,1/11/21,549.5703124,Bq/m3,
10202,Beryllium-7,1/11/21,1226.076567,Bq/m3,
10202,Beryllium-7,1/11/22,1457.544638,Bq/m3,
9054,Beryllium-7,1/12/15,584.57,Bq/m3,
10202,Beryllium-7,1/12/15,1161.03,Bq/m3,
10202,Beryllium-7,1/15/20,1267.88596,Bq/m3,
9054,Beryllium-7,1/17/20,502.2161307,Bq/m3,
10202,Beryllium-7,1/23/23,1369.131925,Bq/m3,
9054,Beryllium-7,1/24/23,582.0684983,Bq/m3,
9054,Beryllium-7,1/7/14,602.36,Bq/m3,
9054,Beryllium-7,1/8/13,557.13,Bq/m3,
10202,Beryllium-7,1/8/13,883.91,Bq/m3,
10202,Beryllium-7,1/8/14,862.75,Bq/m3,
10202,Beryllium-7,10/1/12,1149.14,Bq/m3,
10202,Beryllium-7,10/1/14,1023.64,Bq/m3,
10202,Beryllium-7,10/10/13,906.04,Bq/m3,
9054,Beryllium-7,10/10/16,560.5598649,Bq/m3,
10202,Beryllium-7,10/10/16,1045.465265,Bq/m3,
10202,Beryllium-7,10/10/17,1008.169073,Bq/m3,
10202,Beryllium-7,10/13/10,938.78,Bq/m3,
9054,Beryllium-7,10/14/10,745.19,Bq/m3,
10202,Beryllium-7,10/17/22,1389.435062,Bq/m3,
10202,Beryllium-7,10/18/21,1603.087365,Bq/m3,
9054,Beryllium-7,10/19/22,557.6440969,Bq/m3,
10202,Beryllium-7,10/2/23,1381.580182,Bq/m3,
9054,Beryllium-7,10/29/19,520.923917,Bq/m3,
10202,Beryllium-7,10/3/11,1250.87,Bq/m3,
9054,Beryllium-7,10/3/23,595.0902777,Bq/m3,
9054,Beryllium-7,10/5/15,518.94,Bq/m3,
10202,Beryllium-7,10/5/15,950.87,Bq/m3,
9054,Beryllium-7,10/5/21,581.7531842,Bq/m3,
9054,Beryllium-7,10/6/20,502.2002543,Bq/m3,
10202,Beryllium-7,10/6/20,1177.818103,Bq/m3,
10202,Beryllium-7,10/9/18,1104.569904,Bq/m3,
9054,Beryllium-7,11/10/21,736.6428643,Bq/m3,
10202,Beryllium-7,11/24/21,1249.281763,Bq/m3,
9054,Beryllium-7,11/3/20,521.3306212,Bq/m3,
10202,Beryllium-7,11/3/20,1393.966273,Bq/m3,
10202,Beryllium-7,11/5/19,940.1370286,Bq/m3,
10202,Beryllium-7,12/1/20,1421.800043,Bq/m3,
9054,Beryllium-7,12/10/18,534.7391393,Bq/m3,
10202,Beryllium-7,12/18/19,1285.529932,Bq/m3,
9054,Beryllium-7,12/19/19,594.2844223,Bq/m3,
9054,Beryllium-7,12/2/20,593.6015179,Bq/m3,
10202,Beryllium-7,12/2/21,1585.31065,Bq/m3,
9054,Beryllium-7,12/6/21,544.8340365,Bq/m3,
10202,Beryllium-7,2/1/11,642.19,Bq/m3,
9054,Beryllium-7,2/1/21,538.8898441,Bq/m3,
10202,Beryllium-7,2/1/21,1160.393894,Bq/m3,
10202,Beryllium-7,2/1/22,1253.895033,Bq/m3,
9054,Beryllium-7,2/2/22,564.8075857,Bq/m3,
9054,Beryllium-7,2/4/20,521.3485913,Bq/m3,
10202,Beryllium-7,2/4/20,1157.460445,Bq/m3,
10202,Beryllium-7,3/1/21,1466.315155,Bq/m3,
9054,Beryllium-7,3/2/21,624.5888363,Bq/m3,
10202,Beryllium-7,3/3/20,1063.708579,Bq/m3,
9054,Beryllium-7,3/7/18,547.5507268,Bq/m3,
10202,Beryllium-7,4/10/18,1117.210652,Bq/m3,
